"site","OTU_Label","display_label","Class","abund_weight","substrate_label","group","consistency","n_higher","n_lower","n_sig","seasons_higher","seasons_lower","mean_estimate"
"SELVA","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"PE","Plastic generalist","occasional",1,0,1,"Winter","",3.14
"SELVA","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"wPE","Plastic generalist","occasional",1,0,1,"Fall","",4.34
"SELVA","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"PET","Plastic generalist","moderate",2,0,2,"Fall, Winter2","",4.31
"SELVA","Telonema-Group-1_ASV_18184","Telonema_subtile","Telonemia_XX",0.0753274257089953,"wPET","Plastic generalist","moderate",2,0,2,"Winter, Fall","",3.12
"TBS","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"PE","Plastic generalist","occasional",1,0,1,"Summer","",5.09
"TBS","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"wPE","Plastic generalist","occasional",1,0,1,"Summer","",6.51
"TBS","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"PET","Plastic generalist","occasional",1,0,1,"Summer","",7.09
"TBS","Aplanochytrium_ASV_9331","Aplanochytrium_sp.","Sagenista",0.0149543872810011,"wPET","Plastic generalist","occasional",1,0,1,"Summer","",5.7
"TBS","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"PE","Plastic generalist","moderate",2,0,2,"Winter, Summer","",5.59
"TBS","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"wPE","Plastic generalist","occasional",1,0,1,"Summer","",11.62
"TBS","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"PET","Plastic generalist","occasional",1,0,1,"Summer","",7.24
"TBS","Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.0310238177962359,"wPET","Plastic generalist","moderate",2,0,2,"Winter, Summer","",8.1
"TBS","Pterocystida_ASV_20844","Pterocystida_ASV_20844","Pterocystida",0.0172274516960163,"PE","Plastic generalist","occasional",1,0,1,"Spring","",5.64
"TBS","Pterocystida_ASV_20844","Pterocystida_ASV_20844","Pterocystida",0.0172274516960163,"wPE","Plastic generalist","moderate",2,0,2,"Spring, Fall","",5.02
"TBS","Pterocystida_ASV_20844","Pterocystida_ASV_20844","Pterocystida",0.0172274516960163,"PET","Plastic generalist","occasional",1,0,1,"Spring","",4.97
"TBS","Pterocystida_ASV_20844","Pterocystida_ASV_20844","Pterocystida",0.0172274516960163,"wPET","Plastic generalist","occasional",1,0,1,"Spring","",5.1
"SELVA","Amphora_ASV_11507","Amphora_coffeaeformis","Bacillariophyceae",0.00945869703897539,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.04
"SELVA","Amphora_ASV_11507","Amphora_coffeaeformis","Bacillariophyceae",0.00945869703897539,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.09
"SELVA","Arthropoda_ASV_17239","Arthropoda_ASV_17239","Arthropoda",0.00742754009626867,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.04
"SELVA","Arthropoda_ASV_17239","Arthropoda_ASV_17239","Arthropoda",0.00742754009626867,"wPE","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Fall","",5.41
"SELVA","Bacillariophyceae_ASV_10175","Bacillariophyceae_ASV_10175","Bacillariophyceae",0.113355999219255,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.87
"SELVA","Bacillariophyceae_ASV_10175","Bacillariophyceae_ASV_10175","Bacillariophyceae",0.113355999219255,"PET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.97
"SELVA","Bacillariophyceae_ASV_9843","Bacillariophyceae_ASV_9843","Bacillariophyceae",0.00384803533276133,"wPE","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Fall","",3.84
"SELVA","Bacillariophyceae_ASV_9843","Bacillariophyceae_ASV_9843","Bacillariophyceae",0.00384803533276133,"PET","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Fall","",2.67
"SELVA","Bacillariophyceae_ASV_9918","Bacillariophyceae_ASV_9918","Bacillariophyceae",0.00595938222893109,"PE","Multi-substrate (3 substrates)","moderate",2,0,2,"Winter, Summer","",4.49
"SELVA","Bacillariophyceae_ASV_9918","Bacillariophyceae_ASV_9918","Bacillariophyceae",0.00595938222893109,"PET","Multi-substrate (3 substrates)","moderate",2,0,2,"Summer, Winter2","",5.2
"SELVA","Bacillariophyceae_ASV_9918","Bacillariophyceae_ASV_9918","Bacillariophyceae",0.00595938222893109,"wPET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.84
"SELVA","Chrysolepidomonas_ASV_8860","Chrysolepidomonas_dendrolepidota","Chrysophyceae",0.00535215397275536,"PE","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Spring","",3.34
"SELVA","Chrysolepidomonas_ASV_8860","Chrysolepidomonas_dendrolepidota","Chrysophyceae",0.00535215397275536,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",1.88
"SELVA","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"PE","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Summer","",4.92
"SELVA","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"wPET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.98
"SELVA","Dino-Group-I-Clade-1_X_ASV_21077","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.010750244814223,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Fall","",4.6
"SELVA","Dino-Group-I-Clade-1_X_ASV_21077","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.010750244814223,"wPET","Multi-substrate (2 substrates)","moderate",2,0,2,"Winter, Winter2","",3.67
"SELVA","Fragilariaceae_ASV_10037","Fragilariaceae_ASV_10037","Bacillariophyceae",0.00510758859603341,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",4.36
"SELVA","Fragilariaceae_ASV_10037","Fragilariaceae_ASV_10037","Bacillariophyceae",0.00510758859603341,"wPE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",3.44
"SELVA","Fragilariaceae_ASV_10037","Fragilariaceae_ASV_10037","Bacillariophyceae",0.00510758859603341,"PET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",3.08
"SELVA","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.04
"SELVA","Heribaudiella_ASV_10922","Heribaudiella_fluviatilis","Phaeophyceae",0.00900417840426956,"wPET","Multi-substrate (2 substrates)","moderate",2,0,2,"Summer, Winter2","",3.76
"SELVA","Navicula_ASV_10098","Navicula_tripunctata","Bacillariophyceae",0.360488616668932,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",4.65
"SELVA","Navicula_ASV_10098","Navicula_tripunctata","Bacillariophyceae",0.360488616668932,"PET","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.88
"SELVA","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"PE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",2.34
"SELVA","Navicula_ASV_10118","Navicula sp. Navicula_ASV_10118","Bacillariophyceae",0.0128753450688817,"wPE","Multi-substrate (2 substrates)","occasional",1,0,1,"Winter","",3.28
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"PE","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter","",2.31
"SELVA","Nolandella_ASV_19262","Nolandella_sp.","Elardia",0.00447937925031652,"PET","Multi-substrate (3 substrates)","occasional",1,0,1,"Winter2","",5.46
