"OTU_Label","Term","Estimate","SE","z","p_raw","p_BH","lower","upper","sig_BH","CI_excl_zero","extreme_estimate","reliable","sig_any","predictor_type","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species","mean_rel_abund","abund_weight"
"Spirotrichea_ASV_12539","seasonSpring:substrateWeathered_PET",-1.80026327855427,1.22505638341802,-1.46953503767016,0.14168772561922,0.972077951233736,-4.2013737900536,0.600847232945049,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea",NA,NA,NA,NA,0.00145062647566651,0.0128991934202361
"Halomonhystera_ASV_27076","seasonSpring:substrateWeathered_PET",-0.875719171397439,17.2645072244643,-0.0507236702450749,0.959545714796766,0.999999999999916,-34.7141533313474,32.9627149885525,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Halomonhystera","Halomonhystera_sp.",0.00128656887677773,0.0114403680536623
"Endomyxa_ASV_22154","seasonSpring:substrateWeathered_PET",-0.343958119729179,1383.14653713765,-0.000248678003735587,0.999801583662253,0.999999999999916,-2711.31117090952,2710.62325467006,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Rhizaria","Cercozoa","Endomyxa","Vampyrellida",NA,NA,NA,0.00149648003522171,0.0133069303143508
"Disporella_ASV_17010","seasonSpring:substrateWeathered_PET",0.0739676296320869,116.762141233262,0.000633489835410932,0.999494548274707,0.999999999999916,-228.779829187561,228.927764446825,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Bryozoa","Bryozoa_X","Bryozoa_XX","Disporella",NA,0.000713550956362178,0.00634500469673366
"Pterocystidae_ASV_21684","seasonSpring:substrateWeathered_PET",1.75320363930773,105.322477054584,0.0166460539890181,0.986718983868628,0.999999999999916,-204.678851387677,208.185258666293,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista","Pterocystidae",NA,NA,0.000929295349725014,0.0082634369782347
"Polycera_ASV_19036","seasonSpring:substrateWeathered_PET",-0.130397980237333,3725.25884505536,-3.5003736830372e-05,0.999972071058818,0.999999999999916,-7301.63773428874,7301.37693832827,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Gastropoda","Nudibranchia","Polycera","Polycera_quadrilineata",0.00150715578892704,0.0134018607559648
"OTU_ASV_13187","seasonSpring:substrateWeathered_PET",-1.12242072705344,465.785000870686,-0.00240973995503358,0.998077307555126,0.999999999999916,-914.061022433599,911.816180979492,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,0.00146979772392601,0.0130696671042305
"Licmophora_ASV_9996","seasonSpring:substrateWeathered_PET",2.80713017857358,248.084180435218,0.0113152324894275,0.990971943345635,0.999999999999916,-483.437863474454,489.052123831601,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Licmophorales","Licmophoraceae","Licmophora",NA,0.00102531068529399,0.00911722008890352
"Amphora_ASV_11507","seasonSpring:substrateWeathered_PET",-0.458179527954834,1.47896144584682,-0.309798155483689,0.75671445436652,0.999999999999916,-3.3569439618146,2.44058490590493,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Thalassiophysales","Catenulaceae","Amphora","Amphora_coffeaeformis",0.00106371273792365,0.00945869703897539
"Chlamydaster_ASV_21669","seasonSpring:substrateWeathered_PET",2.91183800385341,55.9584780381474,0.0520356897817768,0.958500255589954,0.999999999999916,-106.766778950915,112.590454958622,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista","Pterocystidae","Chlamydaster","Chlamydaster_sterni",0.00115795167744144,0.0102966841631241
"Embryophyceae_XX_ASV_21512","seasonSpring:substrateWeathered_PET",-8.63311094843617,13.5343269387905,-0.637867770409254,0.523559759354279,0.999999999999916,-35.1603917484655,17.8941698515931,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX",NA,NA,0.00272893361534111,0.0242660968386749
"OTU_ASV_16598","seasonSpring:substrateWeathered_PET",-0.0834309504108474,9149.46573763993,-9.11866908989247e-06,0.999992724354718,0.999999999999916,-17933.0362767247,17932.8694148239,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,0.000495221611222941,0.00440358662701965
"OTU_ASV_13628","seasonSpring:substrateWeathered_PET",-1.06577501190069,1.28517661754441,-0.829282915166221,0.406944336149212,0.999999999999916,-3.58472118228774,1.45317115848635,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,0.00118168072320769,0.010507686482571
"Chromadorea_X_ASV_27082","seasonSpring:substrateWeathered_PET",2.9518532661753,40.6285738918326,0.0726546118511115,0.942080967537939,0.999999999999916,-76.6801515618165,82.5838580941671,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X",NA,NA,0.00105699342807416,0.00939894790378929
"Chromadorina_ASV_18461","seasonSpring:substrateWeathered_PET",3.87569267976111,54.2141884667438,0.0714885307586693,0.943008952332369,0.999999999999916,-102.384116715057,110.135502074579,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Chromadorina","Chromadorina_sp.",0.000967020925192471,0.00859889858948156
"Tisbe_ASV_13853","seasonSpring:substrateWeathered_PET",-2.3250815012084,45.5607412134104,-0.0510325653026038,0.959299570988513,0.999999999999916,-91.6241342794928,86.9739712770759,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Tisbe","Tisbe_sp.",0.00106871798795007,0.00950320449095588
"Ampullofolliculina_ASV_3611","seasonSpring:substrateWeathered_PET",0.548865718583614,203.548898469179,0.00269648090808373,0.997848522122177,0.999999999999916,-398.406975281007,399.504706718174,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Alveolata","Ciliophora","Heterotrichea","Heterotrichea_X","Folliculinidae","Ampullofolliculina","Ampullofolliculina_lageniformis",0.000527810449010298,0.00469337157787454
"Cymbella_ASV_11535","seasonSpring:substrateWeathered_PET",0.367406073181368,2593.63388813598,0.000141656875653109,0.999886974166363,0.999999999999916,-5083.15501467334,5083.8898268197,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Cymbellales","Cymbellaceae","Cymbella","Cymbella_acuta",0.000903644603108959,0.00803534659968157
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","seasonSpring:substrateWeathered_PET",-2.24129471119897,1.4329278617462,-1.56413645866839,0.117785525516801,0.853330920319304,-5.04983332022153,0.56724389782359,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-II","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",0.00124367909820695,0.0110589855552618
"CCW10-lineage_X_ASV_13478","seasonSpring:substrateWeathered_PET",1.00597387143846,1.14534692040681,0.878313682531355,0.379773512567143,0.999999999999916,-1.2389060925589,3.25085383543581,FALSE,FALSE,FALSE,FALSE,FALSE,"season × substrate","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Thecofilosea","Ventricleftida","CCW10-lineage","CCW10-lineage_X","CCW10-lineage_X_sp.",0.00150818599501783,0.0134110215067512
